Winner,http://upload.wikimedia.org/wikipedia/commons/6/6e/Kailash_Satyarthi.jpg,Known For,Field,Gender,Place of Birth,Country of Birth,Short Description,Description,Year of Birth,Age of Nobel Win,Universities,Country represented for Nobel Prize,Image,DBpedia Link,Profile
Claude Cohen-Tannoudji,1997 - Physics,,,Male,"Constantine, Algeria",Algeria,French Physicist,"Claude Cohen-Tannoudji (born 1 April 1933) is a French physicist and Nobel Laureate. He shared the 1997 Nobel Prize in Physics with Steven Chu and William Daniel Phillips for research in methods of laser cooling and trapping atoms. He is still an active researcher, working at the École Normale Supérieure in Paris.",1933,64,,France,http://upload.wikimedia.org/wikipedia/commons/a/a5/Claude_Cohen-Tannoudji.JPG,http://dbpedia.org/page/Claude_Cohen-Tannoudji,http://en.wikipedia.org/wiki/Claude_Cohen-Tannoudji
William Daniel Phillips,1997 - Physics,Laser cooling,,Male,"Wilkes-Barre, Pennsylvania, United States",United States of America,,"William Daniel Phillips (born November 5, 1948) is a Nobel Prize award winning, American physicist. He shared the Nobel Prize in Physics, in 1997, with Steven Chu and Claude Cohen-Tannoudji.",1948,49,"Massachusetts Institute of Technology, Juniata College",United States of America,http://upload.wikimedia.org/wikipedia/commons/8/85/William_D._Phillips.jpg,http://dbpedia.org/page/William_Daniel_Phillips,http://en.wikipedia.org/wiki/William_Daniel_Phillips
Walter Kohn,1998 - Chemestry,Density functional theory,,Male,Austria,Austria,American Physicist,"Walter Kohn (born March 9, 1923) is an Austrian -born American theoretical physicist. He was awarded, with John Pople, the Nobel Prize in chemistry in 1998. The award recognized their contributions to the understandings of the electronic properties of materials. In particular, Kohn played the leading role in the development of density functional theory, which made it possible to incorporate quantum mechanical effects in the electronic density (rather than through its many-body wavefunction ). This computational simplification led to many insights and became an essential tool for electronic materials, atomic and molecular structure.",1923,75,"Harvard University, University of Toronto","Austria, United States of America",http://upload.wikimedia.org/wikipedia/commons/4/47/Walter_Kohn.jpg,http://dbpedia.org/page/Walter_Kohn,http://en.wikipedia.org/wiki/Walter_Kohn
John Pople,1998 - Chemestry,Computational methods in quantum chemistry,"Computational chemistry, Theoretical chemistry",Male,"Somerset, Burnham-on-Sea, United Kingdom",United Kingdom,Chemist,"Sir John Anthony Pople, KBEFRS (31 October 1925 – 15 March 2004) was a Nobel Prize–winning theoretical chemist. He was awarded the Nobel Prize in Chemistry with Walter Kohn in the year 1998. He was born in Burnham-on-Sea, Somerset, England and attended the Bristol Grammar School. He won a scholarship to Trinity College, Cambridge in 1943. He received his B. A. in 1946. Between 1945 and 1947 he worked at the Bristol Aeroplane Company. He then returned to Cambridge University and was awarded his doctorate degree in mathematics in 1951. He moved to the United States of America in 1964, where he lived the rest of his life, though he retained British citizenship. Pople considered himself more of a mathematician than a chemist, but theoretical chemists consider him one of the most important of their number. ",1925,73,University of Cambridge,United Kingdom,,http://dbpedia.org/page/John_Pople,http://en.wikipedia.org/wiki/John_Pople
Amartya Sen,1998 - Economics,,"Development economics, Welfare economics",Male,"Santiniketan, West Bengal, India",India,Economist,"Amartya Kumar Sen ( Bengali: অমর্ত্য সেন; born 3 November 1933) is an Indian economist and philosopher who since 1972 has taught and worked in the United Kingdom and the United States. He has made contributions to welfare economics, social choice theory, economic and social justice, economic theories of famines, and indexes of the measure of well-being of citizens of developing countries. He was awarded the Nobel Memorial Prize in Economic Sciences in 1998 for his work in welfare economics.",1933,65,"University of Cambridge, Presidency University - Kolkata",India,http://upload.wikimedia.org/wikipedia/commons//e/e0/Amartya_Sen_NIH.jpg,http://dbpedia.org/page/Amartya_Sen,http://en.wikipedia.org/wiki/Amartya_Sen
José Saramago,1998 - Literature,,,Male,"Azinhaga, Ribatejo, Portugal",Portugal,"Portuguese Playwright, Novelist","José de Sousa Saramago, GColSE ( Portuguese: [ʒuˈzɛ ðɨ ˈsozɐ sɐɾɐˈmaɣu]; 16 November 1922 – 18 June 2010) was a Portuguese writer and recipient of the 1998 Nobel Prize in Literature. His works, some of which can be seen as allegories, commonly present subversive perspectives on historic events, emphasizing the human factor. Harold Bloom described Saramago as ""the greatest living novelist"" and considers him to be ""a permanent part of the Western canon "", while James Wood praises ""the distinctive tone to his fiction because he narrates his novels as if he were someone both wise and ignorant."" ",1922,76,,Portugal,http://upload.wikimedia.org/wikipedia/commons/5/5c/JSJoseSaramago.jpg,http://dbpedia.org/page/Jos%C3%A9_Saramago,http://en.wikipedia.org/wiki/Jos%C3%A9_Saramago
Robert F. Furchgott,1998 - Medicine / Physiology,,,Male,"Charleston, South Carolina, United States",United States of America,American Biochemist,"Robert Francis Furchgott (June 4, 1916 – May 19, 2009) was a Nobel Prize -winning American biochemist.",1916,82,University of North Carolina,United States of America,http://upload.wikimedia.org/wikipedia/commons/b/bd/Drfurchgott.jpg,http://dbpedia.org/page/Robert_F._Furchgott,http://en.wikipedia.org/wiki/Robert_F._Furchgott
Ferid Murad,1998 - Medicine / Physiology,"Circulatory system, Cyclic guanosine monophosphate",,Male,"Whiting, Indiana, United States",United States of America,American Physician And Pharmacologist,"Ferid Murad (born September 14, 1936) is a physician and pharmacologist, and a co-winner of the 1998 Nobel Prize in Physiology or Medicine. He is also an honorary member of the Academy of Sciences and Arts of Kosovo. ",1936,62,"DePauw University, Case Western Reserve University",United States of America,http://upload.wikimedia.org/wikipedia/commons/5/57/Ferid_Murad.jpg,http://dbpedia.org/page/Ferid_Murad,http://en.wikipedia.org/wiki/Ferid_Murad
Louis Ignarro,1998 - Medicine / Physiology,Nitric oxide,Pharmacology,Male,"Brooklyn, New York City, New York, United States",United States of America,American Physiologist,"Louis J. Ignarro (born May 31, 1941) is an American pharmacologist. For demonstrating the signaling properties of nitric oxide, he was co-recipient of the 1998 Nobel Prize in Physiology or Medicine with Robert F. Furchgott and Ferid Murad.",1941,57,"Columbia University, University of Minnesota",United States of America,http://upload.wikimedia.org/wikipedia/commons//e/e7/Loius_Ignarro.jpg,http://dbpedia.org/page/Louis_Ignarro,http://en.wikipedia.org/wiki/Louis_Ignarro
John Hume,1998 - Peace,,,Male,"Derry, Ireland",Ireland,Irish Politician,"John Hume, KCSG (born 18 January 1937) is an Irish former politician from Derry, Northern Ireland. He was a founding member of the Social Democratic and Labour Party, and was co-recipient of the 1998 Nobel Peace Prize, with David Trimble.",1937,61,St Patrick's College,Ireland,http://upload.wikimedia.org/wikipedia/commons/5/5c/John_Hume_2008.jpg,http://dbpedia.org/page/John_Hume,http://en.wikipedia.org/wiki/John_Hume
David Trimble,1998 - Peace,,,Male,"Bangor, County Down, Northern Ireland, United Kingdom",United Kingdom,Northern Irish Politician,"William David Trimble, Baron Trimble, PC (born 15 October 1944), is a British politician who was the first First Minister of Northern Ireland from 1998 to 2002, and the Leader of the Ulster Unionist Party from 1995 to 2005. He was also the Member of Parliament for Upper Bann from 1990 to 2005 and the Member of the Legislative Assembly (MLA) for Upper Bann from 1998 to 2007. In 2006, he was made a life peer in the House of Lords and a year later left the UUP to join the Conservative Party.",1944,54,Queen's University Belfast,United Kingdom,http://upload.wikimedia.org/wikipedia/commons/3/36/Trimble%2C_David_%281944%29.jpg,http://dbpedia.org/page/David_Trimble,http://en.wikipedia.org/wiki/David_Trimble
Daniel C. Tsui,1998 - Physics,Fractional quantum Hall effect,Electrical engineering,Male,"Henan, China",China,American Nobel Physicist,"Daniel Chee Tsui ( Chinese: 崔琦; pinyin: Cuī Qí, born February 28, 1939, Henan Province, China ) is a Chinese -born American physicist whose areas of research included electrical properties of thin films and microstructures of semiconductors and solid-state physics. He was previously the Arthur LeGrand Doty Professor of Electrical Engineering at Princeton University and adjunct senior research scientist in the Department of Physics at Columbia University, where he was a visiting professor from 2006 to 2008. Currently, he is a research professor at Boston University. In 1998, along with Horst L. Störmer of Columbia and Robert Laughlin of Stanford, Tsui was awarded the Nobel Prize in Physics for his contributions to the discovery of the fractional quantum Hall effect.",1939,59,"University of Chicago, Augustana College","China, United States of America",,http://dbpedia.org/page/Daniel_C._Tsui,http://en.wikipedia.org/wiki/Daniel_C._Tsui
Robert B. Laughlin,1998 - Physics,,,Male,"Visalia, California, United States",United States of America,American Physicist,"Robert Betts Laughlin (born November 1, 1950) is the Anne T. and Robert M. Bass Professor of Physics and Applied Physics at Stanford University. Along with Horst L. Störmer of Columbia University and Daniel C. Tsui of Princeton University, he was awarded a share of the 1998 Nobel Prize in physics for their explanation of the fractional quantum Hall effect.",1950,48,"University of California - Berkeley, Massachusetts Institute of Technology",United States of America,http://upload.wikimedia.org/wikipedia/commons/f/f0/Robert_Laughlin%2C_Stanford_University.jpg,http://dbpedia.org/page/Robert_B._Laughlin,http://en.wikipedia.org/wiki/Robert_B._Laughlin
Horst Ludwig Störmer,1998 - Physics,,,Male,"Frankfurt, Germany",Germany,German Physicist,"Horst Ludwig Störmer (born April 6, 1949) is a German physicist, Nobel laureate and emeritus professor at Columbia University. He was awarded the 1998 Nobel Prize in Physics jointly with Daniel Tsui and Robert Laughlin ""for their discovery of a new form of quantum fluid with fractionally charged excitations"" (the fractional quantum Hall effect ). He and Tsui were working at Bell Labs at the time of the experiment cited by the Nobel committee.",1949,49,"University of Stuttgart, Goethe University Frankfurt",Germany,http://upload.wikimedia.org/wikipedia/commons/2/24/Horst_St%C3%B6rmer.jpg,http://dbpedia.org/page/Horst_Ludwig_St%C3%B6rmer,http://en.wikipedia.org/wiki/Horst_Ludwig_St%C3%B6rmer
Ahmed Zewail,1999 - Chemestry,Femtochemistry,,Male,"Damanhur, Egypt",Egypt,Egyptian Chemist,"Ahmed Hassan Zewail ( Arabic: أحمد حسن زويل ‎, IPA: [ˈæħmæd ˈħæsæn zeˈweːl]; born February 26, 1946) is an Egyptian - American scientist, known as the ""father of femtochemistry "", he won the 1999 Nobel Prize in Chemistry for his work on femtochemistry and became the first Egyptian scientist to win a Nobel Prize in a scientific field. He is the Linus Pauling Chair Professor Chemistry, Professor of Physics and the director of the Physical Biology Centre for the Ultrafast Science and Technology ( UST ) at the California Institute of Technology.",1946,53,"University of Pennsylvania, Alexandria University",Egypt,http://upload.wikimedia.org/wikipedia/commons/a/a7/Ahmed_Zewail_HD2009_Othmer_Gold_Medal_portrait.JPG,http://dbpedia.org/page/Ahmed_Zewail,http://en.wikipedia.org/wiki/Ahmed_Zewail
Robert Mundell,1999 - Economics,,Monetary economics,Male,"Kingston, Ontario, Canada",Canada,,"Robert Alexander Mundell, CC (born October 24, 1932) is a Nobel Prize-winning Canadian economist. Mundell is a professor of economics at Columbia University and the Chinese University of Hong Kong.",1932,67,"University of Washington, Massachusetts Institute of Technology, London School of Economics, University of British Columbia",Canada,http://upload.wikimedia.org/wikipedia/commons/8/89/Rmundell.jpg,http://dbpedia.org/page/Robert_Mundell,http://en.wikipedia.org/wiki/Robert_Mundell
Günter Grass,1999 - Literature,,,Male,"Free City of Danzig, Wrzeszcz, Germany",Germany,German Novelist,"Günter Wilhelm Grass ( German: [ˈɡʏntɐ ˈɡʀas]; born 16 October 1927) is a German novelist, poet, playwright, illustrator, graphic artist, sculptor and recipient of the 1999 Nobel Prize in Literature. He is widely regarded as Germany's most famous living writer. ",1927,72,,Germany,http://upload.wikimedia.org/wikipedia/commons/6/60/G%C3%BCnter_Grass_auf_dem_Blauen_Sofa.jpg,http://dbpedia.org/page/G%C3%BCnter_Grass,http://en.wikipedia.org/wiki/G%C3%BCnter_Grass
Günter Blobel,1999 - Medicine / Physiology,Protein targeting,,Male,"Niegosławice, Lubusz Voivodeship, Germany",Germany,American Biologist,"Günter Blobel (born May 21, 1936) is a German biologist and 1999 Nobel Prize laureate in Physiology for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell.",1936,63,"University of Wisconsin, University of Tübingen","Germany, United States of America",http://upload.wikimedia.org/wikipedia/commons/c/c3/Gunter_Blobel_2008_1.JPG,http://dbpedia.org/page/G%C3%BCnter_Blobel,http://en.wikipedia.org/wiki/G%C3%BCnter_Blobel
