ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
2011 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=2011,Congressional Budget Office,2011,61,152
2009 - US Postal Service,http://www.opensecrets.org//lobby/agencysum.php?id=099&year=2009,US Postal Service,2009,61,157
2011 - International Trade Administration,http://www.opensecrets.org//lobby/agencysum.php?id=109&year=2011,International Trade Administration,2011,61,174
2012 - National Park Service,http://www.opensecrets.org//lobby/agencysum.php?id=143&year=2012,National Park Service,2012,61,176
2012 - Occupational Safety & Health Admin,http://www.opensecrets.org//lobby/agencysum.php?id=167&year=2012,Occupational Safety & Health Admin,2012,61,189
2011 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=2011,Maritime Administration,2011,61,228
2001 - National Oceanic & Atmospheric Admin,http://www.opensecrets.org//lobby/agencysum.php?id=111&year=2001,National Oceanic & Atmospheric Admin,2001,61,97
2005 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2005,Dept of the Interior,2005,610,1113
2007 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2007,Executive Office of the President,2007,611,1197
1998 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=1998,US House of Representatives,1998,6140,16669
1999 - Dept of State,http://www.opensecrets.org//lobby/agencysum.php?id=039&year=1999,Dept of State,1999,615,1169
2002 - Dept of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=037&year=2002,Dept of Justice,2002,615,979
2014 - Dept of Commerce,http://www.opensecrets.org//lobby/agencysum.php?id=024&year=2014,Dept of Commerce,2014,616,1171
2008 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2008,Executive Office of the President,2008,618,1997
2008 - Centers for Medicare & Medicaid Services,http://www.opensecrets.org//lobby/agencysum.php?id=136&year=2008,Centers for Medicare & Medicaid Services,2008,618,2257
2014 - National Inst of Standards & Technology,http://www.opensecrets.org//lobby/agencysum.php?id=221&year=2014,National Inst of Standards & Technology,2014,62,101
1999 - General Accounting Office,http://www.opensecrets.org//lobby/agencysum.php?id=005&year=1999,General Accounting Office,1999,62,102
2001 - Federal Reserve System,http://www.opensecrets.org//lobby/agencysum.php?id=062&year=2001,Federal Reserve System,2001,62,107
2014 - Federal Railroad Administration,http://www.opensecrets.org//lobby/agencysum.php?id=174&year=2014,Federal Railroad Administration,2014,62,111
2002 - Federal Reserve System,http://www.opensecrets.org//lobby/agencysum.php?id=062&year=2002,Federal Reserve System,2002,62,117
2003 - Federal Reserve System,http://www.opensecrets.org//lobby/agencysum.php?id=062&year=2003,Federal Reserve System,2003,62,120
1998 - Federal Reserve System,http://www.opensecrets.org//lobby/agencysum.php?id=062&year=1998,Federal Reserve System,1998,62,135
2009 - National Park Service,http://www.opensecrets.org//lobby/agencysum.php?id=143&year=2009,National Park Service,2009,62,165
2013 - US Postal Service,http://www.opensecrets.org//lobby/agencysum.php?id=099&year=2013,US Postal Service,2013,62,177
2001 - US International Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=098&year=2001,US International Trade Commission,2001,62,78
2014 - Vice President's Office,http://www.opensecrets.org//lobby/agencysum.php?id=010&year=2014,Vice President's Office,2014,62,90
1998 - National Oceanic & Atmospheric Admin,http://www.opensecrets.org//lobby/agencysum.php?id=111&year=1998,National Oceanic & Atmospheric Admin,1998,62,94
2004 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=2004,US Fish & Wildlife Service,2004,62,97
1998 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=1998,Dept of Health & Human Services,1998,623,1178
2011 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2011,Executive Office of the President,2011,623,1929
2007 - White House,http://www.opensecrets.org//lobby/agencysum.php?id=012&year=2007,White House,2007,626,1124
2011 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2011,Dept of the Interior,2011,626,2098
2004 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2004,Dept of the Interior,2004,627,1148
2012 - Dept of Homeland Security,http://www.opensecrets.org//lobby/agencysum.php?id=201&year=2012,Dept of Homeland Security,2012,627,2016
2012 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2012,Dept of the Interior,2012,628,2160
2014 - Dept of Energy,http://www.opensecrets.org//lobby/agencysum.php?id=033&year=2014,Dept of Energy,2014,629,1213
2003 - Dept of Air Force,http://www.opensecrets.org//lobby/agencysum.php?id=029&year=2003,Dept of Air Force,2003,63,100
2000 - National Science Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=076&year=2000,National Science Foundation,2000,63,104
2004 - US Postal Service,http://www.opensecrets.org//lobby/agencysum.php?id=099&year=2004,US Postal Service,2004,63,108
2003 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=2003,Maritime Administration,2003,63,111
2014 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=2014,Federal Deposit Insurance Commission,2014,63,119
2010 - National Inst of Standards & Technology,http://www.opensecrets.org//lobby/agencysum.php?id=221&year=2010,National Inst of Standards & Technology,2010,63,147
2010 - US Marine Corps,http://www.opensecrets.org//lobby/agencysum.php?id=210&year=2010,US Marine Corps,2010,63,168
2008 - Medicare Payment Advisory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=227&year=2008,Medicare Payment Advisory Commission,2008,63,169
2010 - Natl Telecom & Information Admin,http://www.opensecrets.org//lobby/agencysum.php?id=112&year=2010,Natl Telecom & Information Admin,2010,63,192
1998 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=1998,Federal Highway Administration,1998,63,83
2003 - US Citizenship & Immigration Services,http://www.opensecrets.org//lobby/agencysum.php?id=154&year=2003,US Citizenship & Immigration Services,2003,63,86
2005 - Office of Personnel Management,http://www.opensecrets.org//lobby/agencysum.php?id=081&year=2005,Office of Personnel Management,2005,63,88
2002 - National Economic Council,http://www.opensecrets.org//lobby/agencysum.php?id=198&year=2002,National Economic Council,2002,63,98
1998 - US Citizenship & Immigration Services,http://www.opensecrets.org//lobby/agencysum.php?id=154&year=1998,US Citizenship & Immigration Services,1998,63,99
2000 - White House,http://www.opensecrets.org//lobby/agencysum.php?id=012&year=2000,White House,2000,630,1053
2004 - Dept of State,http://www.opensecrets.org//lobby/agencysum.php?id=039&year=2004,Dept of State,2004,637,1203
2003 - Dept of State,http://www.opensecrets.org//lobby/agencysum.php?id=039&year=2003,Dept of State,2003,639,1189
2000 - US International Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=098&year=2000,US International Trade Commission,2000,64,101
2003 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=2003,Federal Highway Administration,2003,64,104
2011 - US International Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=098&year=2011,US International Trade Commission,2011,64,181
2011 - Occupational Safety & Health Admin,http://www.opensecrets.org//lobby/agencysum.php?id=167&year=2011,Occupational Safety & Health Admin,2011,64,192
2012 - Vice President's Office,http://www.opensecrets.org//lobby/agencysum.php?id=010&year=2012,Vice President's Office,2012,64,193
2013 - Occupational Safety & Health Admin,http://www.opensecrets.org//lobby/agencysum.php?id=167&year=2013,Occupational Safety & Health Admin,2013,64,196
2007 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=2007,Federal Highway Administration,2007,64,99
1999 - US Senate,http://www.opensecrets.org//lobby/agencysum.php?id=001&year=1999,US Senate,1999,6426,17990
2010 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2010,Executive Office of the President,2010,643,1975
2010 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2010,Dept of the Interior,2010,643,2143
2003 - Dept of Homeland Security,http://www.opensecrets.org//lobby/agencysum.php?id=201&year=2003,Dept of Homeland Security,2003,646,1097
2012 - Office of Management & Budget,http://www.opensecrets.org//lobby/agencysum.php?id=018&year=2012,Office of Management & Budget,2012,646,1892
2003 - Dept of Energy,http://www.opensecrets.org//lobby/agencysum.php?id=033&year=2003,Dept of Energy,2003,647,1427
1999 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=1999,Dept of Health & Human Services,1999,649,1294
2005 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=2005,Federal Highway Administration,2005,65,101
1999 - National Economic Council,http://www.opensecrets.org//lobby/agencysum.php?id=198&year=1999,National Economic Council,1999,65,101
2001 - US Coast Guard,http://www.opensecrets.org//lobby/agencysum.php?id=171&year=2001,US Coast Guard,2001,65,107
2011 - National Inst of Standards & Technology,http://www.opensecrets.org//lobby/agencysum.php?id=221&year=2011,National Inst of Standards & Technology,2011,65,163
2008 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2008,Office of Science & Technology Policy,2008,65,180
2008 - Agency for Health Care Policy & Research,http://www.opensecrets.org//lobby/agencysum.php?id=132&year=2008,Agency for Health Care Policy & Research,2008,65,181
2013 - International Trade Administration,http://www.opensecrets.org//lobby/agencysum.php?id=109&year=2013,International Trade Administration,2013,65,185
2012 - Ofc of the Comptroller of the Currency,http://www.opensecrets.org//lobby/agencysum.php?id=183&year=2012,Ofc of the Comptroller of the Currency,2012,65,189
2011 - Office of Personnel Management,http://www.opensecrets.org//lobby/agencysum.php?id=081&year=2011,Office of Personnel Management,2011,65,192
2012 - US Postal Service,http://www.opensecrets.org//lobby/agencysum.php?id=099&year=2012,US Postal Service,2012,65,194
2001 - Bureau of Reclamation,http://www.opensecrets.org//lobby/agencysum.php?id=149&year=2001,Bureau of Reclamation,2001,65,99
1999 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=1999,US House of Representatives,1999,6522,18249
2013 - Centers for Medicare & Medicaid Services,http://www.opensecrets.org//lobby/agencysum.php?id=136&year=2013,Centers for Medicare & Medicaid Services,2013,654,2463
2009 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2009,Dept of the Interior,2009,655,2097
2010 - Centers for Medicare & Medicaid Services,http://www.opensecrets.org//lobby/agencysum.php?id=136&year=2010,Centers for Medicare & Medicaid Services,2010,655,2337
2004 - Dept of Energy,http://www.opensecrets.org//lobby/agencysum.php?id=033&year=2004,Dept of Energy,2004,658,1452
1999 - Dept of Transportation,http://www.opensecrets.org//lobby/agencysum.php?id=040&year=1999,Dept of Transportation,1999,659,1302
2005 - Bureau of Reclamation,http://www.opensecrets.org//lobby/agencysum.php?id=149&year=2005,Bureau of Reclamation,2005,66,118
2003 - Bureau of Reclamation,http://www.opensecrets.org//lobby/agencysum.php?id=149&year=2003,Bureau of Reclamation,2003,66,123
2009 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=2009,Congressional Budget Office,2009,66,172
2010 - Office of Personnel Management,http://www.opensecrets.org//lobby/agencysum.php?id=081&year=2010,Office of Personnel Management,2010,66,178
2012 - Federal Railroad Administration,http://www.opensecrets.org//lobby/agencysum.php?id=174&year=2012,Federal Railroad Administration,2012,66,205
2013 - Medicare Payment Advisory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=227&year=2013,Medicare Payment Advisory Commission,2013,66,226
2010 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=2010,Maritime Administration,2010,66,235
2005 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2005,Office of Science & Technology Policy,2005,66,97
2001 - National Science Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=076&year=2001,National Science Foundation,2001,66,97
2009 - Office of Management & Budget,http://www.opensecrets.org//lobby/agencysum.php?id=018&year=2009,Office of Management & Budget,2009,660,1803
2011 - Office of Management & Budget,http://www.opensecrets.org//lobby/agencysum.php?id=018&year=2011,Office of Management & Budget,2011,660,1912
2000 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2000,Executive Office of the President,2000,661,1269
2004 - Environmental Protection Agency,http://www.opensecrets.org//lobby/agencysum.php?id=049&year=2004,Environmental Protection Agency,2004,661,1308
2012 - Centers for Medicare & Medicaid Services,http://www.opensecrets.org//lobby/agencysum.php?id=136&year=2012,Centers for Medicare & Medicaid Services,2012,661,2467
2006 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2006,Executive Office of the President,2006,662,1309
2003 - Environmental Protection Agency,http://www.opensecrets.org//lobby/agencysum.php?id=049&year=2003,Environmental Protection Agency,2003,662,1323
2009 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2009,Executive Office of the President,2009,663,1875
2013 - Dept of State,http://www.opensecrets.org//lobby/agencysum.php?id=039&year=2013,Dept of State,2013,663,2001
2008 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2008,Dept of the Interior,2008,663,2089
2005 - Dept of State,http://www.opensecrets.org//lobby/agencysum.php?id=039&year=2005,Dept of State,2005,664,1200
2003 - Dept of Agriculture,http://www.opensecrets.org//lobby/agencysum.php?id=023&year=2003,Dept of Agriculture,2003,666,1296
1998 - General Accounting Office,http://www.opensecrets.org//lobby/agencysum.php?id=005&year=1998,General Accounting Office,1998,67,105
