Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
Vanghoji II Jagpalrao Nimbalkar,,,,,,1570,1570,1630,1630,60 years,21915,Yes,No,,,Phaltan ,India,,,Raja,
Pangeran Ratu,http://en.wikipedia.org/wiki/Pangeran_Ratu,"Pangeran Ratu (died 1651) was the ruler of Banten in Northwest Java, Indonesia, and was the first ruler anywhere on the island of Java to take the title of sultan, which he took in 1638, under the Arabic name Abulmafakhir Mahmud Abdulkadir. This set a precedent for Sultan Agung of Mataram soon afterwards to take the title himself. ",,,,1596,1596,1651,1651,55 years,20088,Yes,No,,,Banten ,Indonesia,,,Sultan,
Ernst II,,,,,,1613,1613,1670,1670,57 years,20819,Yes,No,,,Oettingen-Wallerstein ,Germany,,,Count,
Friedrich II,,,,,,1610,1610,1673,1673,63 years,23010,Yes,No,,,Salm-Neuweiler ,Germany,,,Count,
Rajasinghe II of Sri Lanka,http://en.wikipedia.org/wiki/Rajasinghe_II_of_Sri_Lanka,"Rajasimha II, also known as Rajasingha II (pre coronation, Prince Mahastana), was a Sinhalese King, reigned 1629 – 6 December 1687; third king of the kingdom of Kandy in Sri Lanka. Rajasingha requested Dutch aid to help expel the Portuguese from the island, which they successfully did in 1656. By this time however it had become clear to the Kandyans that the Dutch not only intended to expel the Portuguese but to replace them as the major colonial power on the island, and from 1645 onwards Rajasingha was engaged in sporadic warfare with his erstwhile allies.",,,,1635,1635,1687,1687,52 years,18993,Yes,No,,,Kandy ,Sri Lanka,,,King,
Sourigna Vongsa,http://en.wikipedia.org/wiki/Sourigna_Vongsa,"Sourigna Vongsa (ສຸຣິຍະວົງສາທັມມິກຣາດ [suliɲa voŋsaː tʰammikraːt]) [missing tone] was the last king of Lan Xang and during his period, it considered the golden age of Laos. He ascended to the throne in 1637.",,,,1638,1638,1694,1694,56 years,20454,Yes,No,,,Lan Xang ,Laos,,,King,
Johanette,,,,,,1648,1648,1701,1701,53 years,19358,Yes,No,,,Sayn-Wittgenstein-Sayn-Altenkirchen ,Germany,,,Count,
Magdalena Christina,,,,,,1661,1661,1715,1715,54 years,19723,Yes,No,,,Sayn-Wittgenstein-Hachenburg ,Germany,,,Count,
Sultan Mahmud Shah II,,,,,,1653,1653,1720,1720,67 years,24471,Yes,No,,,Perak ,Malaysia,,,Sultan,
Johannes,,,,,,1667,1667,1724,1724,57 years,20819,Yes,No,,,Waldburg-Waldsee ,Germany,,,Count,
Franz Wilhelm,,,,,,-472,-472,1734,1734,61 years,22280,Yes,No,,,Salm-Reifferscheid-Krautheim ,Germany,,,Count,
Froben Ferdinand,,,,,,1684,1684,1735,1735,51 years,18627,Yes,No,,,Fürstenberg-Messkirch ,Germany,,,Count,
Johann Philipp,,,,,,1666,1666,1741,1741,75 years,27393,Yes,No,,,Stadion ,Germany,,,Count,
Janoji Nimbalkar,,,,,,1693,1693,1748,1748,55 years,20088,Yes,No,,,Phaltan ,India,,,Raja,
Philipp Ernst,,,,,,-470,-470,1759,1759,62 years,22645,Yes,No,,,Hohenlohe-Waldenburg-Schillingsfürst ,Germany,,,Count,
Ludwig Wilhelm August Egon,,,,,,1709,1709,1759,1759,50 years,18262,Yes,No,,,Fürstenberg-Weitra ,Germany,,,Count,
Nicolas Leopold I,,,,,,-469,-469,1770,1770,63 years,23010,Yes,No,,,Salm-Hoogstraat ,Germany,,,Count,
Sultan Muhammad Jiwa Zainal Adilin II,http://en.wikipedia.org/wiki/Sultan_Muhammad_Jiwa_Zainal_Adilin_II,Sultan Muhammad Jiwa Zainal Adilin II was the 19th Sultan of Kedah. He reign from 1710 to 1778 and is widely known as the founder of Alor Setar and many current landmarks in the city are attributed to him. He was also the all time longest reigning Malay ruler in Malayan history and one of the longest reigning monarchs in the world after having ruled for a total of 68 years.,,,,1710,1710,1778,1778,68 years,24836,Yes,No,,,Kedah ,Malaysia,,,Sultan,
Kejeruan Junjungan,,,,,,1728,1728,1782,1782,54 years,19723,Yes,No,,,Serdang ,Indonesia,,,Sultan,
Sayakumane,http://en.wikipedia.org/wiki/Sayakumane,Sayakumane was king of the southern Laotian Kingdom of Champasak from 1737-1791.,,,,1737,1737,1791,1791,54 years,19723,Yes,No,,,Champasak ,Laos,,,King,
"Karl, Sayn-Wittgenstein-Sayn-Altenkirchen",,,,,,1741,1741,1803,1803,62 years,22645,Yes,No,,,Sayn-Wittgenstein-Sayn-Altenkirchen ,Germany,,,Count,
Adolf Ludwig Wilhelm,,,,,,1749,1749,1806,1806,57 years,20819,Yes,No,,,Sayn-Wittgenstein-Karlsburg ,Germany,,,Count,
Franz Wenzel,,,,,,1760,1760,1811,1811,51 years,18627,Yes,No,,,Salm-Reifferscheid-Hainsbach ,Germany,,,Count,
Sao Yun,,,,,,1762,1762,1815,1815,53 years,19358,Yes,No,,,Yawnghwe ,Malaysia,,,King,
Alphonsus Adrianus (Nai Kau Sonbai),,,,,,1768,1768,1819,1819,51 years,18627,Yes,No,,,Sonbai Besar ,Indonesia,,,Emperor,
Janrao II Nimbalkar,,,,,,1777,1777,1827,1827,50 years,18262,Yes,No,,,Phaltan ,India,,,Raja,
Raja Sawai Basavalinga I,,,,,,1763,1763,1843,1843,79 years,28854,Yes,No,,,Sundem ,India,,,Raja,
Tun Ali bin Tun Koris,,,,,,1806,1806,1857,1857,51 years,18627,Yes,No,,,Pahang ,Malaysia,,,Sultan,
Azad Khan,,,,,,1833,1833,1885,1885,52 years,18993,Yes,No,,,Kharan ,Pakistan,,,Raja,
Hkun Yon,,,,,,1836,1836,1891,1891,54 years,19723,Yes,No,,,Mong Pai ,Myanmar,,,,
Shrinivasrao Parashuram,,,,,,1848,1848,1901,1901,53 years,19358,Yes,No,,,Aundh ,India,,,Raja,
Pantsachiv Shankarrao Chimnajirao,,,,,,1871,1871,1922,1922,51 years,18627,Yes,No,,,Bhor ,India,,,Raja,
Muhammad Shafi ud-din II,,,,,,1866,1866,1924,1924,58 years,21184,Yes,No,,,Sambas ,Indonesia,,,Sultan,
Sao Kin Maung,,,,,,1887,1887,1937,1937,50 years,18262,Yes,No,,,Möngmit ,Myanmar,,,King,
Al-Marhum Perbaungang,,,,,,1879,1879,1946,1946,67 years,24471,Yes,No,,,Serdang ,Indonesia,,,Sultan,
Triệu Vũ Vương,http://en.wikipedia.org/wiki/Zhao_Tuo,"Zhao Tuo (Chinese: 赵佗; pinyin: Zhào Tuó; Jyutping: Jiu⁶ Tō⁴, Vietnamese: Triệu Đà ), was the founder of the kingdom of Nanyue. Zhao was a Chinese military commander who gained independence upon the collapse of the Qin dynasty. Nanyue included northern Vietnam and parts of southern China. His capital was in Panyu, modern Guangzhou, China. His ruling circle included both Han Chinese and native Baiyue, and intermarriage and assimilation was encouraged. ",,,,-207,-207,-136,-136 ,71 years,25932,Yes,No,,,Triệu Dynasty ,Vietnam,,,King,
Hantili II,http://en.wikipedia.org/wiki/Hantili_II,"Hantili II was a king of the Hittites (Middle Kingdom), ca. mid 15th century BC (short chronology timeline ).",,,,-1500,-1500,-1450,-1450,50 years,18262,Yes,No,,,Hittite Empire,"Turkey,Syria, Lebanon",,,King,Hittite mythology
Mentuhotep II,http://en.wikipedia.org/wiki/Mentuhotep_II,"Nebhepetre Mentuhotep II (reigned c. 2046 BC – 1995 BC) was a Pharaoh of the 11th dynasty who reigned for 51 years. Around his 39th year on the throne he reunited Egypt thus ending the First Intermediary Period. Consequently, he is considered the first pharaoh of the Middle Kingdom .",http://commons.wikimedia.org/wiki/Special:FilePath/MentuhotepII.jpg?width=300,,,-2060,-2060,-2010,-2010,50 years,18262,Yes,No,,,Ancient Egypt,Egypt,,,Pharaoh,
An Dương Vương,http://en.wikipedia.org/wiki/An_D%C6%B0%C6%A1ng_V%C6%B0%C6%A1ng,"An Dương Vương is the title of Thục Phán, who ruled over the kingdom of Âu Lạc (now Vietnam) from 257 to 207 BC. The leader of the Âu Việt tribes, he defeated and seized the throne from the last Hùng king of the state of Văn Lang, and united its people, known as the Lạc Việt, with the Âu Việt. In 208 BC, the capital Cổ Loa was attacked and the imperial citadel ransacked. An Dương Vương fled and committed suicide.",http://commons.wikimedia.org/wiki/Special:FilePath/AnDuongVuong.jpg?width=300,,,-257,-257,-207,-207,50 years,18262,Yes,No,,,Thục Dynasty ,Vietnam,,,King,
Pharnavaz I,http://en.wikipedia.org/wiki/Pharnavaz_I,"Pharnavaz (Georgian: ფარნავაზი Georgian pronunciation: [pʰɑrnɑvɑzi]) also transliterated as Parnavaz or Farnavaz iv[›] was the first king of Kartli, an ancient Georgian kingdom known as Iberia to the Classical sources, who is credited by the medieval Georgian written tradition with founding the kingship of Kartli and the Pharnavazid dynasty. Based on the medieval evidence, most scholars locate Pharnavaz’s rule in the 3rd century BC: 302–237 BC according to Prince Vakhushti of Kartli, 299–234 BC according to Cyril Toumanoff and 284–219 BC according to Pavle Ingoroqva. ",,,,-302,-302,-237,-237,65 years,23741,Yes,No,,,Kingdom of Iberia,"Georgia, Turkey, Russia, Armenia, Azerbaijan",,,King,
King Nan of Zhou,http://en.wikipedia.org/wiki/King_Nan_of_Zhou,"King Nan of Zhou (Chinese: 周赧王; pinyin: Zhōu Nǎn Wáng ), or less commonly King Yin of Zhou (Chinese: 周隱王; pinyin: Zhōu Yǐn Wáng) was the thirty-sixth and last king of the Chinese Zhou Dynasty, the son of the King Shenjing of Zhou and grandson of King Xian of Zhou. He was a King for fifty-nine years, longest in Zhou Dynasty and all the pre-imperial China (in terms of the reign length followed by King Mu of Zhou ).",,,,-314,-314,-256,-256,58 years,21184,Yes,No,,,Zhou ,China,,,King,
Mutasiva of Sri lanka,http://en.wikipedia.org/wiki/Mutasiva_of_Sri_Lanka,"Mutasiva was an early monarch of Sri Lanka of the Kingdom of Anuradhapura, based at the ancient capital of Anuradhapura from 367 BC to 307 BC. He had nine sons, some of which were his successors such Devanampiya Tissa, Uttiya, Mahasiva and Asela, as well as being the son of King Pandukabhaya .",,,,-367,-367,-307,-307,60 years,21915,Yes,No,,,Anuradhapura ,Sri Lanka,,,King,
King Hui of Wei,http://en.wikipedia.org/wiki/King_Hui_of_Wei,"King Hui of Wei (simplified Chinese and traditional Chinese: 魏惠王), originally called Marquis Hui of Wei, and after 344, King Hui of Liang (simplified Chinese and traditional Chinese: 梁惠王) was the third ruler of the state of Wei during the Warring States period, ruling from approximately 370 BC–319 BC. He was a grandson of Marquess Wen of Wei, the founder of the state, and a son of Marquess Wu of Wei .",,,,-370,-370,-319,-319,51 years,18627,Yes,No,,,Wei ,China,,,King,
Zhao,,,,,,-468,-468,-404,-404,64 years,23375,Yes,No,,,Song ,China,,,Prince,
Xuan,,,,,,-455,-455,-405,-405,50 years,18262,Yes,No,,,Qi ,China,,,Prince,
Xiang,,,,,,-475,-475,-425,-425,50 years,18262,Yes,No,,,Zhao ,China,,,Prince,
Jing,,,,,,-547,-547,-490,-490,57 years,20819,Yes,No,,,Qi ,China,,,Prince,
Huan,,,,,,-636,-636,-567,-567,69 years,25202,Yes,No,,,Qi ,China,,,Prince,
Psamtik I,http://en.wikipedia.org/wiki/Psamtik_I,"Psamtik I (also spelled Psammeticus or Psammetichus; Greek: Ψαμμήτιχος), was the first of three kings of that name of the Saite, or Twenty-sixth dynasty of Egypt. His prenomen, Wah-Ib-Re, means ""Constant [is the] Heart [of] Re ."" Historical references for the Dodecarchy and the rise of Psamtik I in power, establishing the Saitic Dynasty, are recorded in Herodotus Histories, Book II: 151-157. It is also known from cuneiform texts that twenty local princelings were appointed by Esarhaddon and confirmed by Assurbanipal to govern Egypt. Necho I, the father of Psamtik by his Queen Istemabet, was the chief of these kinglets, but they seem to have been quite unable to hold the Egyptians to the hated Assyrians against the more sympathetic Nubians. The labyrinth built by Amenemhat III of the Twelfth dynasty of Egypt is ascribed by Herodotus to the Dodecarchy, or rule of 12, which must represent this combination of rulers. Psamtik was the son of Necho I who died in 664 BC when the Kushite king Tantamani tried unsuccessfully to seize control of lower Egypt from the Assyrian Empire. After his father's death, Psamtik managed to both unite all of Egypt and free her from Assyrian control within the first ten years of his reign.",http://commons.wikimedia.org/wiki/Special:FilePath/Psammetique_Ier_TPabasa.jpg?width=300,,,-664,-664,-610,-610,54 years,19723,Yes,No,,,Ancient Egypt,Egypt,,,King,
Wen,,,,,,-665,-665,-615,-615,50 years,18262,Yes,No,,,Zou ,China,,,Prince,
Manasseh,http://en.wikipedia.org/wiki/King_Manasseh,"Manasseh (Hebrew: מְנַשֶּׁה; Greek: Μανασσης; Latin: Manasses) was a king of the Kingdom of Judah. He was the only son of Hezekiah with Hephzibah. He became king at an age of 12 and reigned for 55 years. (2 Kings 21:1; 2 Chronicles 33:1) Edwin Thiele has concluded that he commenced his reign as co-regent with his father Hezekiah in 697/696 BC, with his sole reign beginning in 687/686 BC and continuing until his death in 643/642 BC. William F. Albright has dated his reign from 687 – 642 BC. [citation needed]",,,,-697,-697,-642,-642,55 years,20088,Yes,No,,,Judah ,Israel,,,King,
King Ping of Zhou,http://en.wikipedia.org/wiki/King_Ping_of_Zhou,"King Ping of Zhou (died 720 BC) (Chinese: 周平王; pinyin: Zhōu Píng Wáng ), formerly romanized as King P’ing of Chou, was the thirteenth king of the Chinese Zhou Dynasty and the first of Eastern Zhou Dynasty. He was the son of King You of Zhou and Queen Shen, and was known as Crown Prince Yijiu before ascending the throne. ","http://commons.wikimedia.org/wiki/Special:FilePath/Wu_Zetian,_Empress_of_China.PNG?width=300",,,-770,-770,-720,-720,50 years,18262,Yes,No,,,China ,China ,,,King,
Zhuang,,,,,,-794,-794,-731,-731,63 years,23010,Yes,No,,,Qi ,China,,,Prince,
Uzziah,http://en.wikipedia.org/wiki/Uzziah,"Uzziah (/əˈzaɪə/; Hebrew: עֻזִּיָּהוּ, meaning Yahweh is my strength; Greek: Οζίας; Latin: Ozias ), also known as Azariah (/ˈæzəˈraɪə/; Hebrew: עֲזַרְיָה Greek: Αζαρις; Latin: Azarias ), was a king of the ancient Kingdom of Judah, and one of Amaziah s sons. (2 Chronicles 26:01:00) (According to James F. Driscoll, the second form of his name most likely is the result of a copyist's error.) Uzziah was 16 when he became king of Judah and reigned for 52 years. The first 24 years of his reign were as co-regent with his father, Amaziah.",http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt_Harmensz._van_Rijn_032.jpg?width=300,,,-792,-792,-740,-740,52 years,18993,Yes,No,,,Judah ,Israel,,,King,
"Wu, Wei",,,,,,-812,-812,-758,-758,54 years,19723,Yes,No,,,Wei ,China,,,King,
Brahmāthat,,,,,,-856,-856,-806,-806,50 years,18262,Yes,No,,,Ancient Chanthaburi ,Thailand,,,King,
King Mu of Zhou,http://en.wikipedia.org/wiki/King_Mu_of_Zhou,King Mu of Zhou (Chinese: 周穆王; pinyin: Zhōu Mù Wáng) was the fifth king of the Chinese Zhou Dynasty. The dates of his reign are 976-922 BC or 956-918 BC. ,,,,-977,-977,-922,-922,55 years,20088,Yes,No,,,Zhou ,China,,,King,
Hu,,,,,,-1045,-1045,-986,-986,59 years,21549,Yes,No,,,Chen ,China,,,King,
Karl III,,,,,,4 December 1725,1725,1 March 1776,1776,"50 years,105 days",18367,Yes,No,,,Ortenburg-Neuortenburg ,Germany,,,Count,
Ludwig Eberhard,,,,,,22 October 1600,1600,1 November 1650,1650,"50 years, 10 days",18272,Yes,No,,,Hohenlohe-Pfedelbach ,Germany,,,Count,
Parashuramrao Shrinivas,,,,,,30 August 1777,1777,11 June 1848,1848,"70 years,286 days",25853,Yes,No,,,Aundh ,India,,,Raja,
"Waghji II, Thakur Sahib of Morvi",,,,,,17 February 1870,1870,11 June 1922,1922,"52 years,114 days",19107,Yes,No,,,Morbi State ,India,,,Raja,
Paku Alam VIII,,,,,,12 April 1937,1937,11 September 1998,1998,"61 years,152 days",22432,Yes,No,,,Pakualaman ,Indonesia,,,Prince,
"Hermann II, Salm",,,,,,1088,1088,1128,1128,50 years,18262,Yes,No,,,Salm ,Germany,,,Count,
Friedrich Magnus I,,,,,,7 October 1746,1746,12 February 1801,1801,"54 years,128 days",19851,Yes,No,,,Solms-Wildenfels ,Germany,,,Count,
Rudolf I,,,,,,25 August 1298,1298,12 March 1356,1356,"57 years,200 days",21019,Yes,No,,,Saxe-Wittenberg ,Germany,,,King,
Emich XI,,,,,,10 January 1541,1541,12 March 1593,1593,"52 years, 61 days",19054,Yes,No,,,Leiningen-Dagsburg ,Germany,,,Count,
"Heinrich III, Upper Salm",,,,,,1240,1240,1291,1291,53 years,19358,Yes,No,,,Upper Salm ,Germany,,,Count,
"Udai Singh II Sahib Bahadur, Maharawal of Dungarpur",,,,,,19 December 1846,1846,13 February 1898,1898,"51 years, 56 days",18683,Yes,No,,,Dungarpur State ,India,,,Raja,
Ishwari Prasad Narayan Singh,,,,,,4 April 1835,1835,13 June 1889,1889,"54 years, 70 days",19793,Yes,No,,,Benares ,India,,,Raja,
"Heinrich II, Castell Elder Line",,,,,,1254,1254,1307,1307,53 years,19358,Yes,No,,,Castell ,Germany,,,Count,
"Heinrich III, Solms-Braunfels",,,,,,1258,1258,1312,1312,54 years,19723,Yes,No,,,Solms-Braunfels ,Germany,,,Count,
"Karl Friedrich, Isenburg-Meerholz",,,,,,11 February 1724,1724,14 March 1774,1774,"50 years, 31 days",18293,Yes,No,,,Isenburg-Meerholz ,Germany,,,Count,
"Heinrich V, Henneberg-Schleusingen",,,,,,1347,1347,1405,1405,58 years,21184,Yes,No,,,Henneberg-Schleusingen ,Germany,,,Count,
"Heinrich III, Henneberg-Aschach-Römhild",,,,,,1292,1292,15 February 1288,1288,60 years,21915,Yes,No,,,Henneberg-Aschach-Römhild ,Germany,,,Count,
Amarsinhji,,,,,,12 June 1881,1881,15 February 1948,1948,"66 years,248 days",24354,Yes,No,,,Wankaner ,India,,,Raja,
"Albrecht I, Holy Roman Emperor",,,,,,16 November 1371,1371,15 June 1429,1429,"57 years,211 days",21030,Yes,No,,,Hohenlohe-Weikersheim ,Germany,,,Emperor,
Maximilian Wunibald,,,,,,13 July 1663,1663,16 April 1717,1717,"53 years,277 days",19635,Yes,No,,,Waldburg ,Germany,,,Count,
